City,Cloudiness (%),Country,Humidity (%),Latitude,Longitude,Temperature (F),Wind Speed (mph)
Mildura,32,AU,81,-34.18,142.16,34.36,2.93
Tikhvin,64,RU,53,59.64,33.53,57.31,6.51
Gonen,24,IL,91,33.12,35.65,58.57,2.37
Port Alfred,0,ZA,91,-33.59,26.89,61.45,14.67
Saint-Philippe,75,CA,65,45.36,-73.48,84.2,11.41
Topolovgrad,0,BG,51,42.08,26.33,71.26,7.96
Kinston,1,US,46,35.26,-77.58,91.4,8.05
La Ligua,0,CL,62,-32.45,-71.23,55.4,6.93
Taywarah,0,AF,58,33.35,64.42,43.45,2.15
West Bay,75,GB,87,50.71,-2.76,60.8,4.7
Sibolga,44,ID,100,1.74,98.78,69.64,2.37
Forbes,20,AU,87,-33.38,148.01,32.47,2.93
Northam,75,GB,87,51.04,-4.21,60.8,4.7
Santa Cruz de Tenerife,20,ES,87,28.47,-16.25,66.2,11.41
Durres,0,AL,94,41.32,19.44,71.6,5.39
Mandan,90,US,69,46.83,-100.89,78.8,23.04
East London,0,ZA,100,-33.02,27.91,66.85,21.5
Qaanaaq,12,GL,97,77.48,-69.36,32.2,5.06
Bukama,0,CD,50,-9.2,25.85,69.19,7.18
Alta Floresta,0,BR,35,-9.87,-56.08,91.69,2.04
Ponta do Sol,8,BR,55,-20.63,-46.0,66.94,4.38
Tiksi,92,RU,98,71.64,128.87,30.94,13.67
Collie,8,AU,80,-33.36,116.15,33.37,2.93
Dhidhdhoo,64,MV,100,6.88,73.1,82.24,21.27
Port Augusta,48,AU,80,-32.49,137.76,39.2,6.93
Carutapera,92,BR,76,-1.2,-46.02,82.42,8.08
Sabya,0,YE,68,16.19,43.1,79.45,2.04
Coquimbo,0,CL,66,-29.95,-71.34,55.4,6.93
Big Spring,1,US,21,32.25,-101.48,111.2,11.41
Punta Arenas,40,CL,80,-53.16,-70.91,41.0,17.22
Camacha,75,PT,77,33.08,-16.33,66.2,10.29
Anadyr,90,RU,100,64.73,177.51,33.8,20.13
North Bend,1,US,51,43.41,-124.22,62.6,11.41
Awjilah,0,LY,27,29.14,21.3,78.91,7.52
Qinhuangdao,8,CN,62,39.94,119.59,58.93,3.49
Vila,0,IT,72,45.18,8.4,69.8,9.17
Bridlington,64,GB,93,54.08,-0.19,66.2,3.36
Mahanoro,64,MG,93,-19.9,48.8,69.01,3.04
Duba-Yurt,92,RU,100,43.04,45.73,53.62,1.36
Kavieng,92,PG,100,-2.57,150.8,75.04,5.61
Kinablangan,88,PH,100,7.69,126.55,79.63,7.74
Iqaluit,90,CA,98,63.75,-68.52,32.0,18.34
Mehran,0,IR,48,33.12,46.17,62.6,4.7
Reshetnikovo,20,RU,54,56.45,36.57,49.48,9.08
Salinas,1,US,28,36.67,-121.66,80.6,9.17
Clyde River,90,CA,92,70.47,-68.59,30.2,18.34
Arkhangelsk,90,RU,100,64.54,40.54,44.6,4.47
Pascagoula,1,US,79,30.37,-88.56,89.6,6.93
Mezen,92,RU,100,65.85,44.24,36.97,3.15
Ruwi,0,OM,14,23.6,58.55,96.8,3.36
Tabou,76,CI,100,4.42,-7.36,79.09,8.41
Copiapo,90,CL,81,-27.37,-70.33,53.6,11.41
Pandan,76,PH,100,11.72,122.09,78.46,2.04
Pitimbu,0,BR,83,-7.47,-34.81,77.0,4.7
Goderich,12,CA,69,43.74,-81.71,70.99,18.25
Ovruch,0,UA,43,51.33,28.8,58.75,8.41
Varzea da Palma,0,BR,58,-17.6,-44.73,71.71,2.93
Hilo,90,US,78,19.71,-155.08,75.2,3.36
Lata,0,IN,99,30.78,78.62,49.48,1.7
Spas-Demensk,0,RU,61,54.41,34.03,46.69,5.17
Voh,0,NC,100,-20.95,164.69,70.45,4.38
Marsh Harbour,20,BS,100,26.54,-77.06,79.72,6.62
Fairbanks,40,US,58,64.84,-147.72,60.8,3.36
Uyuni,8,BO,22,-20.46,-66.82,48.22,13.67
Selenice,0,AL,75,40.53,19.64,66.13,1.92
Port-Gentil,40,GA,83,-0.72,8.78,80.6,11.41
Bagaha,68,IN,95,27.1,84.09,72.79,10.76
Caravelas,56,BR,97,-17.73,-39.27,77.83,8.52
Manbij,0,SY,77,36.53,37.96,60.8,9.53
Buraydah,20,SA,25,26.33,43.97,96.8,3.36
Nabire,92,ID,98,-3.36,135.5,67.66,2.37
San Cristobal,40,EC,49,-0.39,-78.55,69.8,13.87
San Quintin,20,PH,88,17.54,120.52,82.4,2.24
Hami,0,CN,44,42.84,93.51,54.79,3.94
Izumo,20,JP,72,35.37,132.75,59.0,10.29
Jawhar,32,IN,98,19.91,73.23,77.29,2.93
Muyezerskiy,12,RU,52,63.93,31.65,60.37,7.4
Timbuktu,8,ML,25,16.77,-3.01,93.94,6.51
Tari,24,NG,88,12.41,4.49,78.82,4.05
Provideniya,92,RU,95,64.42,-173.23,32.38,14.0
Brownsville,1,US,53,25.91,-97.49,98.6,18.34
Kant,0,KG,64,42.89,74.85,34.36,2.48
Eureka,1,US,59,40.8,-124.16,60.8,16.11
Boa Vista,75,BR,70,2.82,-60.67,86.0,5.82
Bulawayo,64,ZW,48,-20.16,28.59,60.28,3.38
Kalabo,0,ZM,54,-15.0,22.67,59.74,4.38
Kajaani,0,FI,76,64.22,27.73,48.2,5.73
Koupela,0,BF,79,12.18,-0.35,80.53,1.92
Talnakh,68,RU,90,69.49,88.39,29.41,2.93
Pisco,90,PE,82,-13.71,-76.2,64.4,9.17
Cairns,20,AU,77,-16.92,145.77,59.0,12.75
Markala,8,ML,50,13.69,-6.07,87.55,7.18
Baykit,80,RU,100,61.68,96.39,35.44,3.38
Moissala,20,TD,79,8.34,17.77,77.74,4.61
Nemuro,8,JP,90,43.32,145.57,49.66,16.69
Nanortalik,92,GL,93,60.14,-45.24,35.35,8.08
Biloela,0,AU,87,-24.4,150.51,36.34,4.94
Atuona,0,PF,100,-9.8,-139.03,79.54,13.0
Okha,0,RU,84,53.59,142.95,43.99,11.21
Ixcatepec,12,MX,56,21.24,-98.0,92.23,9.19
Bafq,0,IR,19,31.6,55.4,70.54,2.59
Port Moresby,75,PG,88,-9.47,147.16,77.0,11.41
Amapa,75,HN,89,15.09,-87.97,84.2,6.93
Kjollefjord,75,NO,86,70.95,27.35,42.8,12.75
Chernyshevskiy,12,RU,55,63.01,112.47,43.72,7.07
Brae,24,GB,93,60.4,-1.35,51.8,9.17
Sorochinsk,36,RU,46,52.43,53.15,39.85,10.98
Kirensk,32,RU,78,57.78,108.12,48.22,6.62
Avarua,75,CK,64,-21.21,-159.78,75.2,16.11
Jiayuguan,92,CN,46,39.77,98.29,45.61,3.6
Bathsheba,40,BB,78,13.22,-59.52,80.6,16.11
Coihaique,0,CL,80,-45.58,-72.07,32.0,1.92
Norman Wells,40,CA,35,65.28,-126.83,69.8,10.29
Mecca,0,SA,35,21.43,39.83,87.8,2.24
Bethel,90,US,54,60.79,-161.76,55.4,4.7
Araouane,24,ML,16,18.9,-3.53,91.42,3.71
Port Macquarie,75,AU,58,-31.43,152.91,53.6,12.75
Nizwa,0,OM,23,22.93,57.53,79.27,2.48
Guerrero Negro,0,MX,55,27.97,-114.04,75.67,13.56
Lagoa,0,PT,63,37.14,-8.45,62.6,13.87
Kieta,80,PG,100,-6.22,155.63,76.93,3.15
Kaitangata,12,NZ,66,-46.28,169.85,30.22,8.63
Lompoc,1,US,31,34.64,-120.46,78.8,17.22
La Ronge,90,CA,62,55.1,-105.3,53.6,12.75
Camopi,88,GF,85,3.17,-52.33,78.64,2.93
Dingle,80,PH,98,11.0,122.67,76.75,4.72
Havre-Saint-Pierre,90,CA,66,50.23,-63.6,53.6,9.17
Tamandare,36,BR,79,-8.28,-70.75,83.23,3.38
