Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago,User
-0.5707,Mon Jun 04 19:03:02 +0000 2018,0.178,0.822,0.0,"Versailles is back! Tonight, Madame de Montespan finds out how to hurt a former friend...  

#Versailles | 9pm |… https://t.co/5nEGyPoAp6",1,BBC
-0.4767,Mon Jun 04 18:31:05 +0000 2018,0.171,0.829,0.0,"The story of a group of working-class women conducting a dangerous campaign for the vote.

Suffragettes with… https://t.co/RKwQbGQMdu",2,BBC
-0.5859,Mon Jun 04 18:02:05 +0000 2018,0.231,0.769,0.0,The moment a dancing off-duty FBI agent drops his gun performing backflip and accidentally shoots man in leg. https://t.co/FIu2mCjlyP,3,BBC
0.0,Mon Jun 04 17:01:13 +0000 2018,0.0,1.0,0.0,"📸 From #Manhattanhenge to the world's largest freshwater pearl, here are some of the most striking news photos take… https://t.co/5Tp0s3MG7n",4,BBC
0.0,Mon Jun 04 16:01:04 +0000 2018,0.0,1.0,0.0,"🤷‍♀️😂 When @CubaGoodingJr took over @BBCBreakfast.
 https://t.co/XSPs0MOKoN",5,BBC
-0.4215,Mon Jun 04 13:03:05 +0000 2018,0.135,0.865,0.0,"🧔 Bearded men have been taking pictures of themselves from below and it's freaking people out...
👉… https://t.co/FQ9t0swX2t",6,BBC
0.5411,Mon Jun 04 12:34:04 +0000 2018,0.0,0.83,0.17,RT @bbcdoctorwho: Every episode of #DoctorWho since 2005 is now available to watch on @BBCiPlayer… Enjoy! https://t.co/uNWq307bei https://t…,7,BBC
0.6369,Mon Jun 04 12:01:05 +0000 2018,0.0,0.755,0.245,"❤️ Ethan Hawke will be forever grateful to Robin Williams for helping launch his career.
#TheGNShow https://t.co/uYMvKQvuev",8,BBC
0.0,Mon Jun 04 11:05:00 +0000 2018,0.0,1.0,0.0,"Would you describe yourself as a feminist?

#HearHer https://t.co/4UZzAu2IRO",9,BBC
0.9183,Mon Jun 04 10:18:03 +0000 2018,0.048,0.578,0.374,"RT @BBCSpringwatch: Surely this is the only way to react to chicks fledging?! 😂 We sure are excited here at #Springwatch HQ! 

Thanks for c…",10,BBC
0.7263,Mon Jun 04 08:00:15 +0000 2018,0.123,0.529,0.348,"💡 Brilliant idea! 

Plastic waste is being being recycled in to amazing furniture. https://t.co/cb0lSVhAFX",11,BBC
0.0,Mon Jun 04 07:24:07 +0000 2018,0.0,1.0,0.0,"📚 Every story in the world has one of these six basic plots. 
👉 https://t.co/eoZXHpOX4q https://t.co/YC6oLjIn1O",12,BBC
0.2006,Mon Jun 04 07:00:15 +0000 2018,0.119,0.715,0.166,📸🦊 This photographer captures foxes in their most natural of habitats - the darkness. https://t.co/bkNUknwSAC,13,BBC
0.1779,Sun Jun 03 20:42:07 +0000 2018,0.165,0.683,0.153,RT @BBCTwo: Here's why @MrNishKumar wants The Spice Girls to stop right now. 😂 #LiveAtTheApollo https://t.co/Beqy2kfFah,14,BBC
0.0,Sun Jun 03 20:03:08 +0000 2018,0.0,1.0,0.0,"A documentary about the trial of Jeremy Thorpe, which has remained unseen for nearly 40 years. 

The Jeremy Thorpe… https://t.co/jLEcBHG1Cx",15,BBC
0.3818,Sun Jun 03 19:02:06 +0000 2018,0.0,0.867,0.133,"Comedian @frankieboyle is heading to Russia before the World Cup tournament begins. 

Frankie Goes to Russia | 9pm… https://t.co/moLB9EGm1Q",16,BBC
0.0,Sun Jun 03 18:03:06 +0000 2018,0.0,1.0,0.0,"Meet the bees who make their own cologne! 🐝🇲🇽

https://t.co/wGqJoNINS2",17,BBC
0.0,Sun Jun 03 17:04:02 +0000 2018,0.0,1.0,0.0,"🦁 Be a zoo keeper for the day
🚲 Ride a bicycle made for two 
🦈 Swim with sharks 

An eight-year-old boy has created… https://t.co/PkrSoRzoXB",18,BBC
0.0516,Sun Jun 03 16:10:18 +0000 2018,0.086,0.818,0.095,"🦋🏰🎥 Lotte Reiniger, a forgotten pioneer of animation, was the first person to create an animated feature film in co… https://t.co/GKBkpKVFjt",19,BBC
0.4574,Sun Jun 03 15:06:04 +0000 2018,0.0,0.572,0.428,"💍❤️ Guess that's a yes!
https://t.co/xLR4N7qtaZ",20,BBC
-0.5707,Mon Jun 04 19:03:02 +0000 2018,0.178,0.822,0.0,"Versailles is back! Tonight, Madame de Montespan finds out how to hurt a former friend...  

#Versailles | 9pm |… https://t.co/5nEGyPoAp6",21,BBC
-0.4767,Mon Jun 04 18:31:05 +0000 2018,0.171,0.829,0.0,"The story of a group of working-class women conducting a dangerous campaign for the vote.

Suffragettes with… https://t.co/RKwQbGQMdu",22,BBC
-0.5859,Mon Jun 04 18:02:05 +0000 2018,0.231,0.769,0.0,The moment a dancing off-duty FBI agent drops his gun performing backflip and accidentally shoots man in leg. https://t.co/FIu2mCjlyP,23,BBC
0.0,Mon Jun 04 17:01:13 +0000 2018,0.0,1.0,0.0,"📸 From #Manhattanhenge to the world's largest freshwater pearl, here are some of the most striking news photos take… https://t.co/5Tp0s3MG7n",24,BBC
0.0,Mon Jun 04 16:01:04 +0000 2018,0.0,1.0,0.0,"🤷‍♀️😂 When @CubaGoodingJr took over @BBCBreakfast.
 https://t.co/XSPs0MOKoN",25,BBC
-0.4215,Mon Jun 04 13:03:05 +0000 2018,0.135,0.865,0.0,"🧔 Bearded men have been taking pictures of themselves from below and it's freaking people out...
👉… https://t.co/FQ9t0swX2t",26,BBC
0.5411,Mon Jun 04 12:34:04 +0000 2018,0.0,0.83,0.17,RT @bbcdoctorwho: Every episode of #DoctorWho since 2005 is now available to watch on @BBCiPlayer… Enjoy! https://t.co/uNWq307bei https://t…,27,BBC
0.6369,Mon Jun 04 12:01:05 +0000 2018,0.0,0.755,0.245,"❤️ Ethan Hawke will be forever grateful to Robin Williams for helping launch his career.
#TheGNShow https://t.co/uYMvKQvuev",28,BBC
0.0,Mon Jun 04 11:05:00 +0000 2018,0.0,1.0,0.0,"Would you describe yourself as a feminist?

#HearHer https://t.co/4UZzAu2IRO",29,BBC
0.9183,Mon Jun 04 10:18:03 +0000 2018,0.048,0.578,0.374,"RT @BBCSpringwatch: Surely this is the only way to react to chicks fledging?! 😂 We sure are excited here at #Springwatch HQ! 

Thanks for c…",30,BBC
0.7263,Mon Jun 04 08:00:15 +0000 2018,0.123,0.529,0.348,"💡 Brilliant idea! 

Plastic waste is being being recycled in to amazing furniture. https://t.co/cb0lSVhAFX",31,BBC
0.0,Mon Jun 04 07:24:07 +0000 2018,0.0,1.0,0.0,"📚 Every story in the world has one of these six basic plots. 
👉 https://t.co/eoZXHpOX4q https://t.co/YC6oLjIn1O",32,BBC
0.2006,Mon Jun 04 07:00:15 +0000 2018,0.119,0.715,0.166,📸🦊 This photographer captures foxes in their most natural of habitats - the darkness. https://t.co/bkNUknwSAC,33,BBC
0.1779,Sun Jun 03 20:42:07 +0000 2018,0.165,0.683,0.153,RT @BBCTwo: Here's why @MrNishKumar wants The Spice Girls to stop right now. 😂 #LiveAtTheApollo https://t.co/Beqy2kfFah,34,BBC
0.0,Sun Jun 03 20:03:08 +0000 2018,0.0,1.0,0.0,"A documentary about the trial of Jeremy Thorpe, which has remained unseen for nearly 40 years. 

The Jeremy Thorpe… https://t.co/jLEcBHG1Cx",35,BBC
0.3818,Sun Jun 03 19:02:06 +0000 2018,0.0,0.867,0.133,"Comedian @frankieboyle is heading to Russia before the World Cup tournament begins. 

Frankie Goes to Russia | 9pm… https://t.co/moLB9EGm1Q",36,BBC
0.0,Sun Jun 03 18:03:06 +0000 2018,0.0,1.0,0.0,"Meet the bees who make their own cologne! 🐝🇲🇽

https://t.co/wGqJoNINS2",37,BBC
0.0,Sun Jun 03 17:04:02 +0000 2018,0.0,1.0,0.0,"🦁 Be a zoo keeper for the day
🚲 Ride a bicycle made for two 
🦈 Swim with sharks 

An eight-year-old boy has created… https://t.co/PkrSoRzoXB",38,BBC
0.0516,Sun Jun 03 16:10:18 +0000 2018,0.086,0.818,0.095,"🦋🏰🎥 Lotte Reiniger, a forgotten pioneer of animation, was the first person to create an animated feature film in co… https://t.co/GKBkpKVFjt",39,BBC
0.4574,Sun Jun 03 15:06:04 +0000 2018,0.0,0.572,0.428,"💍❤️ Guess that's a yes!
https://t.co/xLR4N7qtaZ",40,BBC
0.4404,Sun Jun 03 13:03:08 +0000 2018,0.0,0.828,0.172,Cow cuddling is the new wellness trend coming to a field near you... 🐮💕 https://t.co/jEwRFBzUJe https://t.co/zUzKHQ69oU,41,BBC
0.632,Sun Jun 03 13:00:15 +0000 2018,0.0,0.812,0.188,RT @BBCOne: This audience member made Aidan Turner his own knitted Poldark doll - and it's so cute! #TheGNShow https://t.co/94h7BfhoPk,42,BBC
0.0,Sun Jun 03 12:03:08 +0000 2018,0.0,1.0,0.0,The one and only Jeff Goldblum reveals how to do 'the look' that every Jurassic Park actor does when they first see… https://t.co/H8dOEmsDMr,43,BBC
0.5994,Sun Jun 03 11:03:08 +0000 2018,0.0,0.83,0.17,These beautiful black and white photographs of London remained hidden in a loft for 30 years before they were disco… https://t.co/F4PDR8kW81,44,BBC
0.743,Sun Jun 03 10:30:00 +0000 2018,0.0,0.76,0.24,"The Queen loves the Highland pony and has set up a breeding programme to ensure they continue to survive. ❤️ 

Coun… https://t.co/S7fUN1WmK0",45,BBC
0.8271,Sun Jun 03 10:04:05 +0000 2018,0.0,0.508,0.492,"These adorable baby hares snuggle together for warmth and comfort. 🐰💕
https://t.co/LgJsY4XuHD",46,BBC
0.0,Sun Jun 03 08:03:02 +0000 2018,0.0,1.0,0.0,"This incredible cafe is run by teenagers with autism. ☕️🍰🥪

https://t.co/D6HJgLYXxa",47,BBC
0.6858,Sun Jun 03 07:32:06 +0000 2018,0.067,0.688,0.245,"Intuition has fallen out of favour in an age of rational, analytical thinking. But should you still trust your gut?… https://t.co/pl8SydpXfy",48,BBC
0.0,Sun Jun 03 07:04:03 +0000 2018,0.0,1.0,0.0,"Remembering the people of Bunce Island, who were sold into the British slave trade. 

https://t.co/HV5AWuWA29",49,BBC
0.5574,Sun Jun 03 06:31:32 +0000 2018,0.076,0.695,0.228,RT @bbcweather: Today will be fine and warm with plenty of sunshine for the majority of the country apart for an isolated heavy shower. Sco…,50,BBC
0.0,Sat Jun 02 19:10:08 +0000 2018,0.0,1.0,0.0,"Women are more likely to wait longer for a health diagnosis and to be told it’s ‘all in their heads’.
👉… https://t.co/9u3Pb6hQpT",51,BBC
0.6249,Sat Jun 02 19:02:05 +0000 2018,0.0,0.733,0.267,"A once-in-a-lifetime conversation with Eileen Atkins, Judi Dench, Maggie Smith and Joan Plowright. ✨

Nothing Like… https://t.co/JxH075mKLm",52,BBC
0.0,Sat Jun 02 17:29:00 +0000 2018,0.0,1.0,0.0,"Not long to go now...⚽️

#HistoryWillBeMade https://t.co/Q2BX0nK5vg",53,BBC
0.296,Sat Jun 02 17:05:04 +0000 2018,0.086,0.779,0.135,A project to provide free sanitary products to women from low income households in Aberdeen is to be rolled out acr… https://t.co/wfdK5nWCsC,54,BBC
-0.3612,Sat Jun 02 17:04:03 +0000 2018,0.263,0.737,0.0,🍽️🤣 When you’re too polite to complain. https://t.co/CrzNNixuaY,55,BBC
0.0,Sat Jun 02 16:04:07 +0000 2018,0.0,1.0,0.0,🌏💫 13.8 billion years of our universe's history packed into four minutes. https://t.co/EBGmVry69j,56,BBC
0.9337,Sat Jun 02 15:46:29 +0000 2018,0.0,0.53,0.47,RT @BBCShakespeare: Turns out even #Shakespeare acting legends love a good get together. 🎭 Tag those special friends you share everything w…,57,BBC
